Title: Depleted MORB Mantle of Workmann & Hart 2005

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 garnet_0 orthopyroxene_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 spinel_0 
32101.00 1354.52 100.138985 0.000000 58.886698 11.099038 15.341033 13.543008 0.000000 0.000000 1.269208 
32001.00 1354.30 100.138985 0.000000 58.883208 11.070231 15.361729 13.550901 0.000000 0.000000 1.272916 
31901.00 1354.09 100.138985 0.000000 58.879660 11.041096 15.382650 13.558894 0.000000 0.000000 1.276685 
31801.00 1353.87 100.138985 0.000000 58.876053 11.011628 15.403799 13.566988 0.000000 0.000000 1.280517 
31701.00 1353.66 100.138985 0.000000 58.872386 10.981821 15.425182 13.575185 0.000000 0.000000 1.284412 
31601.00 1353.44 100.138985 0.000000 58.868656 10.951668 15.446801 13.583486 0.000000 0.000000 1.288373 
31501.00 1353.22 100.138985 0.000000 58.864863 10.921165 15.468662 13.591894 0.000000 0.000000 1.292400 
31401.00 1353.01 100.138985 0.000000 58.861005 10.890304 15.490769 13.600410 0.000000 0.000000 1.296496 
31301.00 1352.79 100.138985 0.000000 58.857082 10.859080 15.513126 13.609036 0.000000 0.000000 1.300662 
31201.00 1352.57 100.138985 0.000000 58.853090 10.827485 15.535738 13.617774 0.000000 0.000000 1.304898 
31101.00 1352.36 100.138985 0.000000 58.849029 10.795513 15.558609 13.626625 0.000000 0.000000 1.309208 
31001.00 1352.14 100.138985 0.000000 58.844897 10.763158 15.581746 13.635591 0.000000 0.000000 1.313592 
30901.00 1351.92 100.138985 0.000000 58.840693 10.730412 15.605151 13.644675 0.000000 0.000000 1.318053 
30801.00 1351.70 100.138985 0.000000 58.836415 10.697268 15.628832 13.653879 0.000000 0.000000 1.322592 
30701.00 1351.49 100.138985 0.000000 58.832060 10.663719 15.652792 13.663203 0.000000 0.000000 1.327210 
30601.00 1351.27 100.138985 0.000000 58.827628 10.629758 15.677037 13.672652 0.000000 0.000000 1.331910 
30501.00 1351.05 100.138985 0.000000 58.823117 10.595375 15.701573 13.682225 0.000000 0.000000 1.336694 
30401.00 1350.83 100.138985 0.000000 58.818524 10.560565 15.726405 13.691927 0.000000 0.000000 1.341563 
30301.00 1350.61 100.138985 0.000000 58.813848 10.525318 15.751539 13.701759 0.000000 0.000000 1.346520 
30201.00 1350.39 100.138985 0.000000 58.809087 10.489627 15.776981 13.711723 0.000000 0.000000 1.351566 
30101.00 1350.17 100.138985 0.000000 58.804239 10.453483 15.802737 13.721822 0.000000 0.000000 1.356704 
30001.00 1349.95 100.138985 0.000000 58.799302 10.416877 15.828812 13.732058 0.000000 0.000000 1.361936 
29901.00 1349.73 100.138985 0.000000 58.794273 10.379800 15.855215 13.742434 0.000000 0.000000 1.367263 
29801.00 1349.51 100.138985 0.000000 58.789151 10.342243 15.881949 13.752951 0.000000 0.000000 1.372689 
29701.00 1349.29 100.138985 0.000000 58.783933 10.304198 15.909024 13.763614 0.000000 0.000000 1.378216 
29601.00 1349.07 100.138985 0.000000 58.778617 10.265654 15.936445 13.774423 0.000000 0.000000 1.383845 
29501.00 1348.85 100.138985 0.000000 58.773201 10.226601 15.964219 13.785383 0.000000 0.000000 1.389580 
29401.00 1348.63 100.138985 0.000000 58.767682 10.187029 15.992354 13.796496 0.000000 0.000000 1.395423 
29301.00 1348.41 100.138985 0.000000 58.762058 10.146929 16.020856 13.807764 0.000000 0.000000 1.401377 
29201.00 1348.19 100.138985 0.000000 58.756326 10.106290 16.049734 13.819191 0.000000 0.000000 1.407444 
29101.00 1347.97 100.138985 0.000000 58.750484 10.065100 16.078995 13.830780 0.000000 0.000000 1.413626 
