Title: Depleted MORB Mantle of Workmann & Hart 2005

liquid_0 thermodynamic data and composition:
Pressure Temperature mass S H V Cp viscosity SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CaO Na2O
19001.00 1440.64 1.044471 3.038358 -11656.627706 0.356641 1.641731 0.516 44.1089 0.88056 13.8033 0.370573 0.156547 10.2967 0.0323394 17.2271 0.0197965 8.24015 4.86412
18901.00 1440.18 1.044521 3.037396 -11665.731276 0.356774 1.641849 0.522 44.1441 0.879533 13.8222 0.373397 0.155189 10.2723 0.0320217 17.2031 0.0195954 8.29153 4.80703
18801.00 1439.72 1.044577 3.036446 -11674.910124 0.356909 1.641976 0.528 44.1792 0.878485 13.8411 0.376253 0.153829 10.248 0.0317052 17.179 0.0193951 8.34331 4.74972
18701.00 1439.26 1.044640 3.035507 -11684.167216 0.357047 1.642113 0.534 44.2144 0.877415 13.8597 0.379139 0.152468 10.2237 0.03139 17.1549 0.0191958 8.39549 4.6922
18601.00 1438.79 1.044711 3.034580 -11693.505621 0.357187 1.642259 0.540 44.2495 0.876323 13.8783 0.382056 0.151106 10.1994 0.0310761 17.1307 0.0189973 8.44808 4.63449
18501.00 1438.32 1.044789 3.033668 -11702.928557 0.357329 1.642415 0.546 44.2846 0.875208 13.8966 0.385004 0.149743 10.1752 0.0307634 17.1064 0.0187997 8.50106 4.57657
18401.00 1437.85 1.044875 3.032769 -11712.439371 0.357473 1.642582 0.553 44.3197 0.874068 13.9149 0.387984 0.14838 10.151 0.0304521 17.0821 0.018603 8.55445 4.51846
18301.00 1437.38 1.044970 3.031885 -11722.041548 0.357620 1.642760 0.559 44.3547 0.872904 13.933 0.390993 0.147017 10.1268 0.030142 17.0577 0.0184072 8.60825 4.46017
18201.00 1436.90 1.045072 3.031017 -11731.738724 0.357769 1.642949 0.565 44.3897 0.871714 13.9509 0.394034 0.145655 10.1026 0.0298333 17.0332 0.0182123 8.66245 4.4017
18101.00 1436.43 1.045184 3.030166 -11741.534687 0.357922 1.643150 0.571 44.4247 0.870499 13.9687 0.397105 0.144293 10.0785 0.0295259 17.0086 0.0180183 8.71705 4.34306
18001.00 1435.95 1.045304 3.029332 -11751.433383 0.358077 1.643364 0.578 44.4597 0.869256 13.9864 0.400206 0.142932 10.0543 0.0292199 16.9839 0.0178253 8.77206 4.28425
17901.00 1435.46 1.045434 3.028516 -11761.438925 0.358235 1.643590 0.584 44.4946 0.867984 14.0039 0.403338 0.141572 10.0302 0.0289153 16.9591 0.0176332 8.82747 4.22528
17801.00 1434.98 1.045574 3.027720 -11771.555599 0.358397 1.643830 0.590 44.5295 0.866684 14.0213 0.406499 0.140214 10.0061 0.028612 16.9342 0.0174421 8.88329 4.16616
17701.00 1434.49 1.045724 3.026944 -11781.787871 0.358561 1.644083 0.596 44.5644 0.865354 14.0385 0.409689 0.138858 9.98203 0.0283102 16.9092 0.0172519 8.93951 4.10689
17601.00 1434.00 1.045884 3.026189 -11792.140393 0.358730 1.644351 0.603 44.5993 0.863993 14.0556 0.412909 0.137504 9.95794 0.0280097 16.8841 0.0170627 8.99613 4.04749
17501.00 1433.50 1.046056 3.025457 -11802.618013 0.358901 1.644635 0.609 44.6342 0.862599 14.0725 0.416158 0.136153 9.93385 0.0277107 16.8588 0.0168744 9.05315 3.98796
17401.00 1433.00 1.046238 3.024748 -11813.225780 0.359077 1.644934 0.616 44.669 0.861172 14.0893 0.419435 0.134804 9.90977 0.0274131 16.8335 0.0166872 9.11058 3.92832
17301.00 1432.50 1.046432 3.024064 -11823.968955 0.359256 1.645249 0.622 44.7038 0.859711 14.106 0.42274 0.133459 9.88567 0.027117 16.808 0.0165009 9.1684 3.86855
17201.00 1432.00 1.046639 3.023406 -11834.853024 0.359440 1.645581 0.628 44.7387 0.858214 14.1225 0.426072 0.132118 9.86157 0.0268224 16.7824 0.0163156 9.22662 3.80869
17101.00 1431.49 1.046858 3.022775 -11845.883683 0.359627 1.645931 0.635 44.7735 0.85668 14.1389 0.429431 0.13078 9.83746 0.0265293 16.7566 0.0161313 9.28523 3.74873
17001.00 1430.98 1.047090 3.022173 -11857.066884 0.359820 1.646299 0.641 44.8083 0.855108 14.1552 0.432816 0.129447 9.81332 0.0262377 16.7307 0.0159481 9.34424 3.68868
16901.00 1430.47 1.047336 3.021600 -11868.408813 0.360016 1.646687 0.648 44.8431 0.853496 14.1713 0.436226 0.128119 9.78917 0.0259476 16.7047 0.0157658 9.40364 3.62856
16801.00 1429.95 1.047596 3.021059 -11879.915916 0.360218 1.647094 0.654 44.8779 0.851842 14.1872 0.439662 0.126796 9.76499 0.025659 16.6785 0.0155846 9.46342 3.56837
16701.00 1429.43 1.047870 3.020550 -11891.594894 0.360425 1.647522 0.661 44.9128 0.850146 14.2031 0.443121 0.125478 9.74078 0.025372 16.6521 0.0154044 9.52359 3.50812
16601.00 1428.91 1.048160 3.020075 -11903.452741 0.360637 1.647971 0.667 44.9476 0.848406 14.2188 0.446602 0.124166 9.71654 0.0250865 16.6256 0.0152253 9.58413 3.44782
16501.00 1428.38 1.048465 3.019637 -11915.496704 0.360854 1.648443 0.674 44.9825 0.84662 14.2343 0.450106 0.12286 9.69225 0.0248027 16.5989 0.0150473 9.64506 3.38749
16401.00 1427.85 1.048787 3.019236 -11927.734350 0.361078 1.648938 0.681 45.0174 0.844786 14.2498 0.453631 0.12156 9.66792 0.0245204 16.572 0.0148703 9.70636 3.32713
16301.00 1427.32 1.049126 3.018874 -11940.173535 0.361307 1.649457 0.687 45.0524 0.842902 14.2651 0.457176 0.120268 9.64354 0.0242397 16.545 0.0146943 9.76802 3.26676
16201.00 1426.78 1.049482 3.018552 -11952.822429 0.361542 1.650002 0.694 45.0873 0.840968 14.2802 0.46074 0.118983 9.6191 0.0239607 16.5177 0.0145195 9.83005 3.20638
16101.00 1426.23 1.049856 3.018274 -11965.689522 0.361784 1.650572 0.701 45.1224 0.83898 14.2953 0.464321 0.117705 9.5946 0.0236833 16.4902 0.0143458 9.89244 3.14601
16001.00 1425.69 1.050250 3.018040 -11978.783637 0.362033 1.651170 0.707 45.1575 0.836937 14.3102 0.467918 0.116436 9.57004 0.0234076 16.4626 0.0141731 9.95518 3.08566
15901.00 1425.14 1.050663 3.017853 -11992.113935 0.362289 1.651795 0.714 45.1927 0.834837 14.325 0.47153 0.115175 9.54539 0.0231335 16.4347 0.0140016 10.0183 3.02534
15801.00 1424.58 1.051096 3.017715 -12005.689923 0.362552 1.652451 0.721 45.2279 0.832678 14.3397 0.475156 0.113923 9.52067 0.0228612 16.4066 0.0138312 10.0817 2.96507
15701.00 1424.02 1.051551 3.017627 -12019.521464 0.362823 1.653136 0.728 45.2632 0.830456 14.3542 0.478793 0.112681 9.49586 0.0225905 16.3782 0.0136619 10.1454 2.90485
15601.00 1423.46 1.052027 3.017593 -12033.618782 0.363102 1.653853 0.735 45.2987 0.828171 14.3686 0.48244 0.111448 9.47095 0.0223216 16.3496 0.0134938 10.2095 2.8447
15501.00 1422.89 1.052526 3.017613 -12047.992470 0.363389 1.654603 0.741 45.3342 0.82582 14.3829 0.486095 0.110225 9.44595 0.0220544 16.3208 0.0133268 10.2739 2.78464
15401.00 1422.31 1.053049 3.017692 -12062.653492 0.363685 1.655387 0.748 45.3699 0.8234 14.3971 0.489756 0.109012 9.42083 0.021789 16.2917 0.0131609 10.3386 2.72467
15301.00 1421.74 1.053596 3.017830 -12077.613185 0.363990 1.656207 0.755 45.4057 0.820909 14.4112 0.493422 0.107811 9.3956 0.0215254 16.2624 0.0129962 10.4036 2.66482
15201.00 1421.15 1.054168 3.018031 -12092.883265 0.364304 1.657063 0.762 45.4417 0.818343 14.4252 0.49709 0.10662 9.37024 0.0212635 16.2328 0.0128327 10.4689 2.60509
15101.00 1420.56 1.054767 3.018297 -12108.475817 0.364628 1.657957 0.769 45.4778 0.815701 14.439 0.500758 0.105442 9.34475 0.0210035 16.2029 0.0126704 10.5345 2.5455
