Title: Depleted MORB Mantle of Workmann & Hart 2005

liquid_0 thermodynamic data and composition:
Pressure Temperature mass S H V Cp viscosity SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CaO Na2O
3101.00 1192.58 0.117348 0.284125 -1610.976232 0.043533 0.144273 K0.00Na0.13Ca0.87Al1.87Si2.13O8 46.4114 0 34.4817 0 0 0 0 0 0 17.6183 1.48857
3001.00 1191.44 0.041067 0.099280 -564.106883 0.015221 0.050475 K-0.0Na0.12Ca0.88Al1.88Si2.12O8 46.0807 0 34.7045 0 0 0 0 0 0 17.8793 1.33558

spinel_0 thermodynamic data and composition:
Pressure Temperature mass S H V Cp formula SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CaO Na2O
5601.00 1216.57 3.110711 7.278886 -37205.126683 0.820944 3.786983 Fe''0.16Mg0.86Fe'''0.05Al1.55Cr0.38Ti0.01O4 0 0.562484 49.8448 2.51683 18.2361 7.05651 0 21.7832 0 0 0
5501.00 1215.90 3.096510 7.243163 -37022.338079 0.817029 3.768585 Fe''0.16Mg0.86Fe'''0.05Al1.55Cr0.38Ti0.01O4 0 0.563659 49.7605 2.53197 18.3144 7.05053 0 21.779 0 0 0
5401.00 1215.20 3.081369 7.205086 -36826.803900 0.812853 3.748961 Fe''0.16Mg0.86Fe'''0.05Al1.54Cr0.38Ti0.01O4 0 0.56462 49.6703 2.54761 18.3989 7.04462 0 21.7739 0 0 0
5301.00 1214.46 3.065182 7.164400 -36617.044509 0.808383 3.727974 Fe''0.16Mg0.86Fe'''0.05Al1.54Cr0.39Ti0.01O4 0 0.565394 49.5735 2.56384 18.4904 7.03885 0 21.768 0 0 0
5201.00 1213.69 3.047843 7.120855 -36391.563787 0.803592 3.705487 Fe''0.16Mg0.86Fe'''0.05Al1.54Cr0.39Ti0.01O4 0 0.56601 49.469 2.58074 18.5898 7.03329 0 21.7611 0 0 0
5101.00 1212.89 3.029250 7.074201 -36148.902353 0.798449 3.681365 Fe''0.16Mg0.86Fe'''0.05Al1.54Cr0.39Ti0.01O4 0 0.566496 49.356 2.59841 18.698 7.02802 0 21.7531 0 0 0
5001.00 1212.05 3.009353 7.024325 -35888.344417 0.792941 3.655543 Fe''0.16Mg0.86Fe'''0.05Al1.53Cr0.39Ti0.01O4 0 0.566872 49.2338 2.61689 18.8156 7.0231 0 21.7437 0 0 0
4901.00 1211.18 2.989351 6.974151 -35626.554109 0.787405 3.629587 Fe''0.16Mg0.86Fe'''0.05Al1.53Cr0.40Ti0.01O4 0 0.566909 49.1103 2.63534 18.9352 7.01799 0 21.7342 0 0 0
